2016-08-30 招商证券 亚太药业 投资
2016-08-29 太阳能 福斯特 投资
2016-08-29 深圳天源迪科信息技术股份有限公司 招商证券股份有限公司 投资
2016-08-29 深圳天源迪科信息技术股份有限公司 招商证券股份有限公司 投资
2016-08-27 申万宏源 贵州百灵 投资
2016-08-27 中技控股 宏达矿业 投资
2016-08-27 宝山钢铁股份有限公司 天地源 投资
2016-08-27 宏达矿业 中技控股 投资
2016-08-27 海通证券 陆家嘴 投资
2016-08-27 申万宏源 陆家嘴 投资
2016-08-27 东方日升 太阳能 投资
2016-08-27 深圳市瑞凌实业股份有限公司 机器人 投资
2016-08-27 上海永利带业股份有限公司 模塑科技 投资
2016-08-26 百大集团 鹏博士 投资
2016-08-26 昆明百货大楼(集团)股份有限公司 昆百大 投资
2016-08-26 出版传媒 中原大地传媒股份有限公司 投资
2016-08-26 浙江海亮股份有限公司 海通证券 投资
2016-08-26 民生银行 鸿利智汇集团股份有限公司 投资
2016-08-26 和晶科技 广电网络 投资
2016-08-26 科隆精化 辽宁科隆精细化工股份有限公司 投资
2016-08-26 科隆精化 辽宁科隆精细化工股份有限公司 投资
2016-08-26 普丽盛 中国农业银行股份有限公司 投资
2016-08-25 华域汽车系统股份有限公司 国泰君安 投资
2016-08-25 腾邦国际 众信旅游 投资
2016-08-25 申万宏源 华泰证券 投资
2016-08-25 中关村 广联达 投资
2016-08-25 工商银行 雄韬股份 投资
2016-08-25 工商银行 雄韬股份 投资
2016-08-25 瑞普生物 中信证券股份有限公司 投资
2016-08-25 中关村 先进数通 投资
2016-08-25 中关村 先进数通 投资
2016-08-25 中关村 先进数通 投资
2016-08-24 中成进出口股份有限公司 国投电力控股股份有限公司 投资
2016-08-24 天津港 唐山港 投资
2016-08-24 TCL集团股份有限公司 中信证券 投资
2016-08-24 东吴证券 上海凯宝 投资
2016-08-24 中信证券 智慧松德 投资
2016-08-24 中信证券 智慧松德 投资
2016-08-23 华侨城 云南城投 投资
2016-08-23 江苏华西村股份有限公司 华泰证券股份有限公司 投资
2016-08-23 诚志股份 惠生能源 投资
2016-08-23 诚志股份 惠生能源 投资
2016-08-23 惠生能源 诚志股份 投资
2016-08-23 诚志股份 惠生能源 投资
2016-08-23 诚志股份 惠生能源 投资
2016-08-23 浙江精功科技股份有限公司 机器人 投资
2016-08-23 深圳奥特迅电力设备股份有限公司 华泰证券股份有限公司 投资
2016-08-23 欧菲光 国信证券 投资
2016-08-23 欧菲光 国信证券 投资
2016-08-23 星城石墨 当升科技 投资
2016-08-23 中科电气 星城石墨 投资
2016-08-23 星城石墨 当升科技 投资
2016-08-23 中科电气 星城石墨 投资
2016-08-23 当升科技 星城石墨 投资
2016-08-23 中科电气 星城石墨 投资
2016-08-23 机器人 科大智能 投资
2016-08-23 汇冠股份 北京汇冠新技术股份有限公司 投资
2016-08-23 中信证券 华夏银行 投资
2016-08-23 中信证券 华夏银行 投资
2016-08-20 京运通 太阳能 投资
2016-08-20 中信证券 航天晨光股份有限公司 投资
2016-08-20 中信证券 航天晨光股份有限公司 投资
2016-08-20 物产中大集团股份有限公司 百大集团股份有限公司 投资
2016-08-20 江苏新宁现代物流股份有限公司 新宁物流 投资
2016-08-20 江苏新宁现代物流股份有限公司 新宁物流 投资
2016-08-20 江苏新宁现代物流股份有限公司 新宁物流 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 招商银行股份有限公司 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 招商银行股份有限公司 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 珠海银隆 格力电器 投资
2016-08-19 格力电器 珠海银隆新能源有限公司 投资
2016-08-19 赛轮金宇 软控股份有限公司 投资
2016-08-19 银江股份 上银基金管理有限公司 投资
2016-08-19 深圳天源迪科信息技术股份有限公司 招商证券股份有限公司 投资
2016-08-19 深圳天源迪科信息技术股份有限公司 招商证券股份有限公司 投资
2016-08-19 瑞普生物 中信证券股份有限公司 投资
2016-08-19 瑞普生物 中信证券股份有限公司 投资
2016-08-19 国金证券 成飞集成 投资
2016-08-18 珈伟股份 博威合金 投资
2016-08-18 金融街控股股份有限公司 招商证券 投资
2016-08-18 金融街控股股份有限公司 招商证券 投资
2016-08-18 上海银行 康力电梯股份有限公司 投资
2016-08-18 地尔汉宇 机器人 投资
2016-08-17 农产品 新疆冠农果茸集团股份有限公司 投资
2016-08-17 国信证券 亚星锚链 投资
2016-08-17 罗牛山股份有限公司 国信证券 投资
